"full_name","e","q","i","om","w","ad","tp_cal","per_y","class","data_arc","condition_code","n_obs_used","two_body","A1","A2","A3","DT"
"     C/2003 C6 (SOHO)",1.0000,0.005,146.81,351.72,69.69,,2003-02-08.7,,PAR,0,,8,T,,,,
"     C/2003 D1 (SOHO)",1.0000,0.005,144.70,9.68,87.09,,2003-03-01.1,,PAR,0,,20,T,,,,
"     C/2003 E2 (SOHO)",1.0000,0.005,144.06,2.57,83.69,,2003-03-04.7,,PAR,0,,13,T,,,,
"     C/2003 E3 (SOHO)",1.0000,0.005,145.29,7.97,85.61,,2003-03-12.0,,PAR,0,,15,T,,,,
"     C/2003 E4 (SOHO)",1.0000,0.005,144.66,9.37,87.98,,2003-03-16.1,,PAR,0,,11,T,,,,
"     C/2003 F3 (SOHO)",1.0000,0.005,144.59,9.82,88.18,,2003-03-21.3,,PAR,1,,43,T,,,,
"     C/2003 F4 (SOHO)",1.0000,0.005,145.06,8.50,84.78,,2003-03-25.9,,PAR,0,,14,T,,,,
"     C/2003 F5 (SOHO)",1.0000,0.005,144.55,10.01,88.12,,2003-03-30.8,,PAR,1,,57,T,,,,
"     C/2003 G1 (LINEAR)",1.0014,4.916,66.85,246.09,11.42,,2003-02-03.6,,HYP,555,,1472,,,,,
"     C/2003 G3 (SOHO)",1.0000,0.017,169.70,87.61,174.63,,2003-04-05.3,,PAR,0,,48,T,,,,
"     C/2003 G4 (SOHO)",1.0000,0.005,147.49,1.78,82.80,,2003-04-02.7,,PAR,0,,6,T,,,,
"     C/2003 G5 (SOHO)",1.0000,0.005,144.12,4.20,83.04,,2003-04-06.8,,PAR,0,,6,T,,,,
"     C/2003 H5 (SOHO)",1.0000,0.035,71.35,75.17,56.64,,2003-04-27.4,,PAR,0,,16,T,,,,
"     C/2003 H6 (SOHO)",1.0000,0.026,27.05,243.47,80.67,,2003-04-30.5,,PAR,0,,11,T,,,,
"     C/2003 H7 (SOHO)",1.0000,0.027,27.90,242.66,82.57,,2003-04-30.5,,PAR,0,,28,T,,,,
"     C/2003 H8 (SOHO)",1.0000,0.005,144.12,8.63,86.27,,2003-04-23.3,,PAR,1,,5,T,,,,
"     C/2003 H9 (SOHO)",1.0000,0.005,143.76,8.35,84.60,,2003-04-25.0,,PAR,0,,10,T,,,,
"     C/2003 H10 (SOHO)",1.0000,0.005,143.83,5.90,83.06,,2003-04-29.3,,PAR,1,,12,T,,,,
"     C/2003 H11 (SOHO)",1.0000,0.005,137.20,306.78,43.23,,2003-04-29.8,,PAR,0,,6,T,,,,
"     C/2003 H12 (SOHO)",1.0000,0.005,144.35,5.25,85.33,,2003-05-01.2,,PAR,0,,4,T,,,,
"     C/2003 J2 (SOHO)",1.0000,0.005,143.39,7.47,84.94,,2003-05-01.6,,PAR,0,,5,T,,,,
"     C/2003 J3 (SOHO)",1.0000,0.005,142.82,8.48,84.58,,2003-05-06.1,,PAR,0,,5,T,,,,
"     C/2003 J4 (SOHO)",1.0000,0.005,144.58,12.80,89.29,,2003-05-06.3,,PAR,1,,7,T,,,,
"     C/2003 J5 (SOHO)",1.0000,0.005,143.94,11.87,89.21,,2003-05-08.7,,PAR,0,,13,T,,,,
"     C/2003 J6 (SOHO)",1.0000,0.005,143.08,16.55,90.64,,2003-05-10.2,,PAR,0,,14,T,,,,
"     C/2003 J7 (SOHO)",1.0000,0.007,141.86,349.09,70.61,,2003-05-15.5,,PAR,1,,31,T,,,,
"     C/2003 J8 (SOHO)",1.0000,0.005,144.29,3.18,82.44,,2003-05-16.6,,PAR,1,,39,T,,,,
"     C/2003 J9 (SOHO)",1.0000,0.005,144.18,14.40,90.62,,2003-05-16.1,,PAR,0,,9,T,,,,
"     C/2003 K3 (SOHO)",1.0000,0.139,39.53,79.08,108.46,,2003-06-01.2,,PAR,3,,32,T,,,,
"     C/2003 K4 (LINEAR)",1.0003,1.024,134.25,18.68,198.44,,2004-10-13.7,,HYP,1269,,3625,,8.1e-09,-3.6e-09,-5.6e-10,
"     C/2003 K5 (SOHO)",1.0000,0.035,72.50,74.11,55.74,,2003-05-21.3,,PAR,0,,16,T,,,,
"     C/2003 K6 (SOHO)",1.0000,0.037,71.87,73.67,56.44,,2003-05-30.1,,PAR,0,,9,T,,,,
"     C/2003 K7 (SOHO)",1.0000,0.005,144.15,12.35,89.70,,2003-05-24.8,,PAR,2,,90,T,,,,
"     C/2003 K8 (SOHO)",1.0000,0.008,135.87,28.75,95.31,,2003-05-22.9,,PAR,0,,8,T,,,,
"     C/2003 K9 (SOHO)",1.0000,0.004,144.48,1.39,81.52,,2003-05-24.8,,PAR,1,,56,T,,,,
"     C/2003 K10 (SOHO)",1.0000,0.005,144.20,3.91,82.94,,2003-05-27.2,,PAR,0,,21,T,,,,
"     C/2003 K11 (SOHO)",1.0000,0.005,141.58,17.80,92.22,,2003-05-27.6,,PAR,0,,7,T,,,,
"     C/2003 K12 (SOHO)",1.0000,0.009,136.80,4.80,81.85,,2003-05-29.5,,PAR,0,,6,T,,,,
"     C/2003 K13 (SOHO)",1.0000,0.006,148.89,348.81,72.92,,2003-05-24.3,,PAR,1,,11,T,,,,
"     C/2003 L3 (SOHO)",1.0000,0.005,142.65,18.74,94.51,,2003-06-02.9,,PAR,0,,11,T,,,,
"     C/2003 L4 (SOHO)",1.0000,0.005,141.93,20.72,95.86,,2003-06-06.3,,PAR,0,,9,T,,,,
"     C/2003 L5 (SOHO)",1.0000,0.005,144.23,3.81,82.97,,2003-06-10.6,,PAR,2,,85,T,,,,
"     C/2003 L6 (SOHO)",1.0000,0.005,135.18,32.28,103.35,,2003-06-10.2,,PAR,0,,7,T,,,,
"     C/2003 L7 (SOHO)",1.0000,0.006,133.71,37.11,107.86,,2003-06-14.5,,PAR,1,,9,T,,,,
"     C/2003 L8 (SOHO)",1.0000,0.004,141.60,14.55,91.79,,2003-06-16.0,,PAR,0,,13,T,,,,
"     C/2003 M1 (SOHO)",1.0000,0.004,144.57,0.22,79.70,,2003-06-16.6,,PAR,0,,22,T,,,,
"     C/2003 M2 (SOHO)",1.0000,0.004,143.54,8.57,86.95,,2003-06-18.9,,PAR,1,,42,T,,,,
"     C/2003 M3 (SOHO)",1.0000,0.004,141.43,20.06,96.21,,2003-06-18.3,,PAR,1,,12,T,,,,
"     C/2003 M4 (SOHO)",1.0000,0.007,141.94,10.56,89.00,,2003-06-18.9,,PAR,0,,8,T,,,,
"     C/2003 M5 (SOHO)",1.0000,0.007,139.29,340.42,64.34,,2003-06-19.9,,PAR,0,,39,T,,,,
"     C/2003 M6 (SOHO)",1.0000,0.007,143.20,13.06,91.42,,2003-06-20.1,,PAR,0,,8,T,,,,
"     C/2003 M7 (SOHO)",1.0000,0.005,145.25,344.94,65.47,,2003-06-20.9,,PAR,0,,9,T,,,,
"     C/2003 M8 (SOHO)",1.0000,0.005,147.58,345.29,64.96,,2003-06-22.7,,PAR,0,,12,T,,,,
"     C/2003 M9 (SOHO)",1.0000,0.005,146.97,358.61,76.12,,2003-06-23.5,,PAR,0,,8,T,,,,
"     C/2003 M10 (SOHO)",1.0000,0.006,148.86,341.76,61.51,,2003-06-23.6,,PAR,0,,9,T,,,,
"     C/2003 M11 (SOHO)",1.0000,0.005,145.69,341.37,60.98,,2003-06-23.7,,PAR,0,,17,T,,,,
"     C/2003 M12 (SOHO)",1.0000,0.005,143.12,8.42,87.16,,2003-06-23.8,,PAR,0,,14,T,,,,
"     C/2003 N1 (SOHO)",1.0000,0.005,144.79,7.21,85.86,,2003-07-06.1,,PAR,0,,11,T,,,,
"     C/2003 N2 (SOHO)",1.0000,0.005,146.13,8.40,86.25,,2003-07-13.6,,PAR,0,,7,T,,,,
"     C/2003 O1 (LINEAR)",1.0014,6.847,117.98,347.64,81.67,,2004-03-17.2,,HYP,1309,,550,,,,,
"     C/2003 O4 (SOHO)",1.0000,0.005,134.30,330.26,58.31,,2003-07-19.2,,PAR,0,,15,T,,,,
"     C/2003 O5 (SOHO)",1.0000,0.007,139.42,339.90,64.35,,2003-07-21.6,,PAR,0,,39,T,,,,
"     C/2003 O6 (SOHO)",1.0000,0.005,144.55,9.49,87.25,,2003-07-25.1,,PAR,0,,25,T,,,,
"     C/2003 O7 (SOHO)",1.0000,0.005,144.99,358.30,75.97,,2003-07-26.4,,PAR,1,,9,T,,,,
"     C/2003 O8 (SOHO)",1.0000,0.005,145.34,356.06,73.97,,2003-07-30.7,,PAR,0,,11,T,,,,
"     C/2003 P1 (SOHO)",1.0000,0.005,145.12,355.98,73.86,,2003-08-03.5,,PAR,1,,12,T,,,,
"     C/2003 P2 (SOHO)",1.0000,0.005,139.66,13.52,90.58,,2003-08-04.3,,PAR,0,,9,T,,,,
"     C/2003 P3 (SOHO)",1.0000,0.005,144.43,8.87,87.34,,2003-08-06.4,,PAR,1,,13,T,,,,
"     C/2003 Q1 (SOHO)",1.0000,0.032,29.33,43.43,52.38,,2003-08-20.9,,PAR,1,,9,T,,,,
"     C/2003 Q2 (SOHO)",1.0000,0.005,144.57,9.12,87.31,,2003-08-25.0,,PAR,2,,57,T,,,,
"     C/2003 Q3 (SOHO)",1.0000,0.005,144.84,7.95,85.40,,2003-08-24.8,,PAR,1,,25,T,,,,
"     C/2003 Q4 (SOHO)",1.0000,0.005,144.43,9.27,86.73,,2003-08-25.7,,PAR,0,,15,T,,,,
"     C/2003 Q5 (SOHO)",1.0000,0.005,144.70,8.63,86.64,,2003-08-27.7,,PAR,1,,53,T,,,,
"     C/2003 Q6 (SOHO)",1.0000,0.037,25.43,56.30,33.17,,2003-08-26.5,,PAR,0,,9,T,,,,
"     C/2003 Q7 (SOHO)",1.0000,0.006,144.06,11.23,90.40,,2003-08-30.4,,PAR,2,,47,T,,,,
"     C/2003 Q8 (SOHO)",1.0000,0.005,144.94,8.04,86.07,,2003-08-30.0,,PAR,0,,11,T,,,,
"     C/2003 Q9 (SOHO)",1.0000,0.005,144.26,3.13,81.97,,2003-08-31.5,,PAR,1,,26,T,,,,
"     C/2003 Q10 (SOHO)",1.0000,0.005,144.48,11.64,91.77,,2003-08-25.6,,PAR,0,,11,T,,,,
"     C/2003 R2 (SOHO)",1.0000,0.005,141.91,18.95,91.87,,2003-09-05.9,,PAR,0,,7,T,,,,
"     C/2003 R3 (SOHO)",1.0000,0.005,144.75,8.79,86.26,,2003-09-09.6,,PAR,1,,24,T,,,,
"     C/2003 R4 (SOHO)",1.0000,0.032,92.36,173.06,105.04,,2003-09-06.9,,PAR,0,,11,T,,,,
"     C/2003 S3 (LINEAR)",1.0018,8.130,151.50,226.39,154.57,,2003-04-10.5,,HYP,1035,,122,,,,,
"     C/2003 S5 (SOHO)",1.0000,0.005,144.77,9.13,85.44,,2003-09-19.2,,PAR,0,,21,T,,,,
"     C/2003 S6 (SOHO)",1.0000,0.007,141.01,19.09,87.22,,2003-09-19.1,,PAR,0,,5,T,,,,
"     C/2003 S7 (SOHO)",1.0000,0.005,145.00,2.99,75.98,,2003-09-22.0,,PAR,0,,14,T,,,,
"     C/2003 S8 (SOHO)",1.0000,0.005,144.28,1.90,78.39,,2003-09-26.6,,PAR,1,,40,T,,,,
"     C/2003 S9 (SOHO)",1.0000,0.015,28.79,59.32,180.22,,2003-09-25.3,,PAR,0,,8,T,,,,
"     C/2003 T4 (LINEAR)",1.0005,0.850,86.76,93.90,181.68,,2005-04-03.6,,HYP,816,,955,,1.1e-07,-2.3e-09,3.7e-09,
"     C/2003 T5 (SOHO)",1.0000,0.005,144.53,9.05,86.79,,2003-10-09.9,,PAR,1,,22,T,,,,
"     C/2003 T6 (SOHO)",1.0000,0.007,144.66,353.66,77.93,,2003-10-10.2,,PAR,0,,14,T,,,,
"     C/2003 T7 (SOHO)",1.0000,0.005,144.54,9.18,87.43,,2003-10-10.9,,PAR,1,,42,T,,,,
"     C/2003 T8 (SOHO)",1.0000,0.005,143.21,6.09,83.32,,2003-10-09.2,,PAR,1,,6,T,,,,
"     C/2003 T9 (SOHO)",1.0000,0.005,149.12,357.61,76.98,,2003-10-10.0,,PAR,0,,4,T,,,,
"     C/2003 T10 (SOHO)",1.0000,0.005,144.53,9.01,87.17,,2003-10-14.4,,PAR,1,,41,T,,,,
"     C/2003 T11 (SOHO)",1.0000,0.005,146.04,4.99,88.39,,2003-10-15.8,,PAR,0,,8,T,,,,
"     C/2003 U4 (SOHO)",1.0000,0.036,74.94,73.97,58.38,,2003-10-21.2,,PAR,0,,10,T,,,,
"     C/2003 U5 (SOHO)",1.0000,0.005,144.60,8.93,85.74,,2003-10-17.3,,PAR,1,,7,T,,,,
"     C/2003 U6 (SOHO)",1.0000,0.005,144.48,9.07,87.14,,2003-10-21.5,,PAR,1,,37,T,,,,
"     C/2003 U7 (SOHO)",1.0000,0.005,144.44,12.13,88.13,,2003-10-23.4,,PAR,0,,6,T,,,,
"     C/2003 U8 (SOHO)",1.0000,0.005,137.65,294.41,36.51,,2003-10-26.0,,PAR,0,,5,T,,,,
"     C/2003 U9 (SOHO)",1.0000,0.005,144.22,10.76,86.95,,2003-10-28.3,,PAR,2,,66,T,,,,
"     C/2003 V2 (SOHO)",1.0000,0.005,145.16,9.93,89.43,,2003-11-02.2,,PAR,0,,5,T,,,,
"     C/2003 V3 (SOHO)",1.0000,0.005,144.30,9.67,87.39,,2003-11-04.3,,PAR,1,,28,T,,,,
"     C/2003 V4 (SOHO)",1.0000,0.005,145.14,9.22,88.06,,2003-11-05.3,,PAR,1,,6,T,,,,
"     C/2003 V5 (SOHO)",1.0000,0.008,136.94,332.92,58.04,,2003-11-06.8,,PAR,1,,64,T,,,,
"     C/2003 V6 (SOHO)",1.0000,0.005,145.14,7.73,85.78,,2003-11-09.9,,PAR,0,,8,T,,,,
"     C/2003 V7 (SOHO)",1.0000,0.005,144.42,357.95,76.08,,2003-11-12.2,,PAR,0,,4,T,,,,
"     C/2003 V8 (SOHO)",1.0000,0.005,143.31,11.75,87.59,,2003-11-14.7,,PAR,1,,46,T,,,,
"     C/2003 W2 (SOHO)",1.0000,0.031,73.26,74.96,56.53,,2003-11-29.9,,PAR,1,,26,T,,,,
"     C/2003 W3 (SOHO)",1.0000,0.005,142.21,11.32,86.83,,2003-11-16.9,,PAR,0,,8,T,,,,
"     C/2003 W4 (SOHO)",1.0000,0.005,140.98,18.15,91.67,,2003-11-22.1,,PAR,0,,8,T,,,,
"     C/2003 W5 (SOHO)",1.0000,0.007,144.58,8.51,87.18,,2003-11-23.2,,PAR,0,,7,T,,,,
"     C/2003 W6 (SOHO)",1.0000,0.005,144.51,9.27,87.55,,2003-11-27.3,,PAR,2,,77,T,,,,
"     C/2003 W7 (SOHO)",1.0000,0.005,144.50,6.62,84.73,,2003-11-27.7,,PAR,0,,8,T,,,,
"     C/2003 W8 (SOHO)",1.0000,0.005,118.30,35.43,82.24,,2003-11-29.6,,PAR,0,,6,T,,,,
"     C/2003 WT42 (LINEAR)",1.0026,5.191,31.41,48.45,92.47,,2006-04-10.7,,HYP,1592,,2466,,,,,
"     C/2003 X1 (SOHO)",1.0000,0.005,143.28,17.90,94.22,,2003-12-01.5,,PAR,0,,10,T,,,,
"     C/2003 X2 (SOHO)",1.0000,0.009,134.58,17.48,90.15,,2003-12-01.9,,PAR,0,,5,T,,,,
"     C/2003 X3 (SOHO)",1.0000,0.005,133.82,37.30,112.58,,2003-12-02.7,,PAR,0,,4,T,,,,
"     C/2003 X4 (SOHO)",1.0000,0.005,136.31,29.52,101.56,,2003-12-05.0,,PAR,0,,11,T,,,,
"     C/2003 X5 (SOHO)",1.0000,0.007,139.87,21.99,97.12,,2003-12-05.4,,PAR,1,,12,T,,,,
"     C/2003 X6 (SOHO)",1.0000,0.005,145.82,325.80,49.96,,2003-12-06.7,,PAR,0,,10,T,,,,
"     C/2003 X7 (SOHO)",1.0000,0.005,139.81,26.19,100.04,,2003-12-08.2,,PAR,0,,6,T,,,,
"     C/2003 X8 (SOHO)",1.0000,0.005,141.22,20.45,96.39,,2003-12-08.6,,PAR,0,,10,T,,,,
"     C/2003 X9 (SOHO)",1.0000,0.005,142.28,316.87,41.99,,2003-12-08.9,,PAR,0,,9,T,,,,
"     C/2003 X10 (SOHO)",1.0000,0.005,147.85,328.24,50.70,,2003-12-11.5,,PAR,0,,5,T,,,,
"     C/2003 X11 (SOHO)",1.0000,0.005,143.45,13.35,90.33,,2003-12-14.0,,PAR,0,,7,T,,,,
"     C/2003 Y1 (SOHO)",1.0000,0.035,72.81,74.70,56.72,,2003-12-20.5,,PAR,0,,19,T,,,,
"     C/2003 Y2 (SOHO)",1.0000,0.005,147.13,353.43,71.94,,2003-12-19.9,,PAR,0,,9,T,,,,
"     C/2003 Y3 (SOHO)",1.0000,0.007,145.75,322.68,40.31,,2003-12-20.3,,PAR,1,,7,T,,,,
"     C/2003 Y4 (SOHO)",1.0000,0.005,145.41,352.48,72.44,,2003-12-21.1,,PAR,0,,10,T,,,,
"     C/2003 Y5 (SOHO)",1.0000,0.005,144.52,3.81,82.09,,2003-12-23.1,,PAR,0,,10,T,,,,
"     C/2003 Y6 (SOHO)",1.0000,0.005,144.60,8.49,86.84,,2003-12-24.6,,PAR,1,,35,T,,,,
"     C/2003 Y7 (SOHO)",1.0000,0.005,143.18,15.81,92.93,,2003-12-25.8,,PAR,1,,17,T,,,,
"     C/2003 Y8 (SOHO)",1.0000,0.005,146.52,4.15,79.60,,2003-12-25.6,,PAR,0,,6,T,,,,
"     C/2003 Y9 (SOHO)",1.0000,0.005,146.53,350.70,71.81,,2003-12-25.7,,PAR,0,,5,T,,,,
"     C/2003 Y10 (SOHO)",1.0000,0.005,147.10,355.72,75.83,,2003-12-26.3,,PAR,0,,9,T,,,,
"     C/2003 Y11 (SOHO)",1.0000,0.005,144.96,6.94,83.81,,2003-12-26.6,,PAR,0,,7,T,,,,
"     C/2003 Y12 (SOHO)",1.0000,0.005,145.83,346.72,65.99,,2003-12-27.6,,PAR,0,,8,T,,,,
"     C/2003 Y13 (SOHO)",1.0000,0.006,143.83,356.28,76.78,,2003-12-29.1,,PAR,1,,28,T,,,,
"     C/2003 Y14 (SOHO)",1.0000,0.005,146.14,352.76,72.86,,2003-12-27.6,,PAR,0,,6,T,,,,
"     C/2003 Y15 (SOHO)",1.0000,0.007,142.53,12.00,89.44,,2004-01-01.4,,PAR,0,,6,T,,,,
"     C/2004 A2 (SOHO)",1.0000,0.005,144.71,8.01,86.33,,2004-01-11.6,,PAR,2,,65,T,,,,
"     C/2004 A3 (SOHO)",1.0000,0.043,14.75,44.75,58.54,,2004-01-16.1,,PAR,1,,5,T,,,,
"     C/2004 A4 (SOHO)",1.0000,0.005,134.78,333.15,60.94,,2004-01-08.6,,PAR,1,,15,T,,,,
"     C/2004 B1 (LINEAR)",1.0013,1.602,114.10,272.80,327.90,,2006-02-07.8,,HYP,1670,,1832,,,,,
"     C/2004 B2 (SOHO)",1.0000,0.035,73.10,74.89,57.16,,2004-01-29.1,,PAR,1,,11,T,,,,
"     C/2004 B3 (SOHO)",1.0000,0.051,13.28,44.90,53.97,,2004-01-18.2,,PAR,0,,23,T,,,,
"     C/2004 B4 (SOHO)",1.0000,0.006,139.10,341.76,66.43,,2004-01-19.0,,PAR,0,,21,T,,,,
"     C/2004 B5 (SOHO)",1.0000,0.005,144.37,7.17,86.35,,2004-01-20.2,,PAR,0,,22,T,,,,
"     C/2004 B6 (SOHO)",1.0000,0.005,145.11,350.52,70.14,,2004-01-21.8,,PAR,0,,14,T,,,,
"     C/2004 B7 (SOHO)",1.0000,0.005,139.51,342.23,68.17,,2004-01-22.2,,PAR,0,,25,T,,,,
"     C/2004 B8 (SOHO)",1.0000,0.005,144.63,355.83,74.93,,2004-01-25.6,,PAR,1,,13,T,,,,
"     C/2004 B9 (SOHO)",1.0000,0.005,143.75,6.69,86.09,,2004-01-26.5,,PAR,1,,13,T,,,,
"     C/2004 B10 (SOHO)",1.0000,0.005,144.69,8.68,85.71,,2004-01-30.8,,PAR,0,,15,T,,,,
"     C/2004 B11 (SOHO)",1.0000,0.007,144.67,343.51,62.44,,2004-01-21.4,,PAR,1,,11,T,,,,
"     C/2004 C2 (SOHO)",1.0000,0.033,72.92,74.60,57.64,,2004-02-05.1,,PAR,1,,10,T,,,,
"     C/2004 C3 (SOHO)",1.0000,0.005,139.56,341.65,67.84,,2004-02-04.7,,PAR,1,,26,T,,,,
"     C/2004 C4 (SOHO)",1.0000,0.005,146.02,12.50,84.50,,2004-02-08.6,,PAR,0,,7,T,,,,
"     C/2004 C5 (SOHO)",1.0000,0.005,142.36,3.90,89.03,,2004-02-09.3,,PAR,1,,3,T,,,,
"     C/2004 C6 (SOHO)",1.0000,0.005,143.02,2.34,84.06,,2004-02-10.6,,PAR,0,,15,T,,,,
"     C/2004 C7 (SOHO)",1.0000,0.005,144.47,2.30,81.38,,2004-02-14.2,,PAR,0,,15,T,,,,
"     C/2004 C8 (SOHO)",1.0000,0.005,144.68,2.41,79.63,,2004-02-14.8,,PAR,0,,7,T,,,,
"     C/2004 D1 (NEAT)",1.0016,4.975,45.54,62.25,75.54,,2006-02-10.7,,HYP,1699,,507,,,,,
"     C/2004 D2 (SOHO)",1.0000,0.005,145.20,6.23,83.63,,2004-02-26.0,,PAR,0,,31,T,,,,
"     C/2004 D3 (SOHO)",1.0000,0.005,145.52,7.75,84.10,,2004-02-26.2,,PAR,0,,27,T,,,,
"     C/2004 D4 (SOHO)",1.0000,0.005,145.15,6.49,84.02,,2004-02-28.3,,PAR,2,,49,T,,,,
"     C/2004 E1 (SOHO)",1.0000,0.005,146.65,2.61,76.59,,2004-03-09.8,,PAR,0,,7,T,,,,
"     C/2004 E3 (SOHO)",1.0000,0.005,144.21,8.67,87.36,,2004-03-15.5,,PAR,1,,18,T,,,,
"     C/2004 E4 (SOHO)",1.0000,0.006,144.91,7.24,80.27,,2004-03-16.6,,PAR,1,,24,T,,,,
"     C/2004 E5 (SOHO)",1.0000,0.005,142.71,1.67,85.45,,2004-03-01.8,,PAR,0,,10,T,,,,
"     C/2004 F5 (SOHO)",1.0000,0.005,144.50,0.35,77.20,,2004-03-18.2,,PAR,1,,24,T,,,,
"     C/2004 F6 (SOHO)",1.0000,0.006,144.37,3.47,77.55,,2004-03-23.8,,PAR,1,,39,T,,,,
"     C/2004 F7 (SOHO)",1.0000,0.005,142.89,8.10,84.66,,2004-03-26.5,,PAR,0,,9,T,,,,
"     C/2004 G2 (SOHO)",1.0000,0.038,72.62,74.01,56.95,,2004-04-10.1,,PAR,0,,4,T,,,,
"     C/2004 G3 (SOHO)",1.0000,0.008,141.37,338.33,65.49,,2004-04-03.6,,PAR,1,,25,T,,,,
"     C/2004 G4 (SOHO)",1.0000,0.006,144.51,8.45,82.74,,2004-04-04.8,,PAR,1,,30,T,,,,
"     C/2004 G5 (SOHO)",1.0000,0.005,144.29,8.43,85.01,,2004-04-11.1,,PAR,0,,7,T,,,,
"     C/2004 G6 (SOHO)",1.0000,0.005,144.91,7.31,84.69,,2004-04-12.1,,PAR,0,,11,T,,,,
"     C/2004 G7 (SOHO)",1.0000,0.005,144.19,3.21,81.11,,2004-04-14.2,,PAR,0,,7,T,,,,
"     C/2004 G8 (SOHO)",1.0000,0.005,144.42,8.21,85.85,,2004-04-14.3,,PAR,1,,9,T,,,,
"     C/2004 G9 (SOHO)",1.0000,0.005,144.22,8.85,86.18,,2004-04-16.0,,PAR,0,,10,T,,,,
"     C/2004 H4 (SOHO)",1.0000,0.034,67.87,74.62,58.70,,2004-04-16.8,,PAR,0,,7,T,,,,
"     C/2004 H5 (SOHO)",1.0000,0.034,68.62,76.03,53.93,,2004-04-30.7,,PAR,0,,14,T,,,,
"     C/2004 H6 (SWAN)",1.0006,0.776,107.66,317.25,269.05,,2004-05-12.6,,HYP,102,,285,,,,,
"     C/2004 H7 (SOHO)",1.0000,0.005,144.22,10.51,89.47,,2004-04-19.2,,PAR,0,,8,T,,,,
"     C/2004 H8 (SOHO)",1.0000,0.005,145.03,1.38,82.66,,2004-04-19.4,,PAR,0,,5,T,,,,
"     C/2004 H9 (SOHO)",1.0000,0.005,146.39,339.72,70.28,,2004-04-19.5,,PAR,0,,7,T,,,,
"     C/2004 H10 (SOHO)",1.0000,0.005,145.04,334.44,64.27,,2004-04-30.5,,PAR,0,,7,T,,,,
"     C/2004 J1 (SOHO)",1.0000,0.005,143.97,4.60,80.67,,2004-05-03.1,,PAR,0,,7,T,,,,
"     C/2004 J2 (SOHO)",1.0000,0.005,146.87,1.73,80.24,,2004-05-05.0,,PAR,0,,7,T,,,,
"     C/2004 J3 (SOHO)",1.0000,0.005,143.24,6.14,82.57,,2004-05-05.0,,PAR,0,,8,T,,,,
"     C/2004 J4 (SOHO)",1.0000,0.042,12.35,34.30,69.22,,2004-05-05.3,,PAR,0,,10,T,,,,
"     C/2004 J5 (SOHO)",1.0000,0.005,146.53,356.93,81.28,,2004-05-06.5,,PAR,0,,11,T,,,,
"     C/2004 J6 (SOHO)",1.0000,0.005,144.23,6.26,84.67,,2004-05-07.5,,PAR,0,,8,T,,,,
"     C/2004 J7 (SOHO)",1.0000,0.005,146.68,356.13,79.98,,2004-05-09.1,,PAR,0,,7,T,,,,
"     C/2004 J8 (SOHO)",1.0000,0.005,144.55,8.23,86.79,,2004-05-12.1,,PAR,1,,57,T,,,,
"     C/2004 J9 (SOHO)",1.0000,0.005,140.88,16.14,89.20,,2004-05-11.1,,PAR,0,,7,T,,,,
"     C/2004 J10 (SOHO)",1.0000,0.005,143.00,14.05,89.77,,2004-05-12.3,,PAR,1,,29,T,,,,
"     C/2004 J11 (SOHO)",1.0000,0.005,144.08,13.61,89.99,,2004-05-13.2,,PAR,0,,11,T,,,,
"     C/2004 J12 (SOHO)",1.0000,0.040,12.68,33.74,71.79,,2004-05-12.9,,PAR,0,,9,T,,,,
"     C/2004 J13 (SOHO)",1.0000,0.044,12.47,36.12,64.48,,2004-05-13.8,,PAR,0,,10,T,,,,
"     C/2004 J14 (SOHO)",1.0000,0.005,144.07,10.45,88.92,,2004-05-14.6,,PAR,0,,11,T,,,,
"     C/2004 J15 (SOHO)",1.0000,0.044,12.28,34.56,67.24,,2004-05-14.7,,PAR,0,,9,T,,,,
"     C/2004 J16 (SOHO)",1.0000,0.031,14.63,34.39,69.24,,2004-05-14.9,,PAR,1,,6,T,,,,
"     C/2004 J17 (SOHO)",1.0000,0.036,13.79,35.60,72.09,,2004-05-15.5,,PAR,0,,8,T,,,,
"     C/2004 J18 (SOHO)",1.0000,0.046,11.89,34.23,65.28,,2004-05-15.6,,PAR,0,,7,T,,,,
"     C/2004 J19 (SOHO)",1.0000,0.005,144.99,3.16,80.42,,2004-05-15.0,,PAR,0,,5,T,,,,
"     C/2004 J20 (SOHO)",1.0000,0.042,12.76,35.86,65.37,,2004-05-13.7,,PAR,0,,11,T,,,,
"     C/2004 K4 (SOHO)",1.0000,0.005,144.01,11.22,88.44,,2004-05-18.8,,PAR,0,,9,T,,,,
"     C/2004 K5 (SOHO)",1.0000,0.005,142.11,11.45,86.94,,2004-05-20.6,,PAR,0,,7,T,,,,
"     C/2004 K6 (SOHO)",1.0000,0.005,142.22,11.05,87.07,,2004-05-22.1,,PAR,0,,5,T,,,,
"     C/2004 K7 (SOHO)",1.0000,0.005,137.71,23.35,97.75,,2004-05-23.5,,PAR,0,,7,T,,,,
"     C/2004 K8 (SOHO)",1.0000,0.007,140.04,317.62,39.83,,2004-05-24.6,,PAR,0,,5,T,,,,
"     C/2004 K9 (SOHO)",1.0000,0.005,140.60,18.25,96.73,,2004-05-25.2,,PAR,0,,6,T,,,,
"     C/2004 K10 (SOHO)",1.0000,0.005,143.85,5.46,83.93,,2004-05-25.7,,PAR,0,,6,T,,,,
